I think you are now ready., neg,1
Instead; Breath of the Wild's focus is; well; on the wild., pos,0.6
It's the adventure surrounding and leading up to these dungeons which most deeply defines the experience., pos,1
That's not to say that the dungeons are no longer excellent or even a focal point in Breath of the Wild--but we'll come back to that in a bit., pos,1
The game's map is divided into 15 different regions; any of which can be explored in any order at any time., pos,1
Within each region; a single observation Tower exists which Link seeks to locate; reach; and eventually climb., neg,1
Each one feels different entirely in both its surrounding environment and the challenges of reaching the top., neg,1
Once there; Link inserts his Shiekah Slate tablet (a great example of the underlying technological focus which BotW adopts as a fascinating subterranean theme) and receives a regional topological map (yes; much like Assassin's Creed); with only certain areas named and marked to give him a head start on exploring the region., pos,1
Randomly dotting the landscapes; hidden within caves and just generally anywhere and everywhere; are also the aforementioned shrines; of which there are over 100 in the game., pos,0.8
Each of these is on average a five-minute mini-dungeon experience featuring a bite-sized implementation of a particular puzzle concept., neg,1
Some of these are longer than others; but none of them exceeds probably 10 or 15 minutes maximum., pos,1
However; there are usually hidden treasure chests--sometimes with powerful items--that can be acquired if additional time is devoted to unraveling further mysteries within., pos,1
And completion of the shrine earns Link a Spirit Orb; four of which can then be traded at any goddess statue for either a stamina wheel upgrade or an additional heart on Link's life meter., pos,1
Any shrine Link has reached can also be used as a fast travel point; which is an excellent idea., pos,1
Perhaps you've breathed a sigh of relief after hearing that Link can; indeed; upgrade his attributes throughout the adventure., pos,0.8
Some have decried the lack of RPG elements for character development and progression (e.g.; EXP and skill trees) as a deficiency of BotW's design; but this system more than makes up for it., neg,1
Furthermore; whereas most games reward combat (well; and quest completion) in such fashion; BotW rewards exploration., pos,1
The shrine system is an unnecessary yet powerful thread which ties together the rest of the explorative adventure; and especially thanks to the rewards for completing them and the ability to travel to/from them at any point; the player is likely to embrace it., neg,0.8
Link can also collect many hundreds of Korok Seeds by exploring even more remote and out-of-reach areas of the world and completing mini Korok puzzles (bow-and-arrow microgames; short races; landscape feature puzzles involving rocks and blocks; etc)., neg,1
These can later be traded to a particular character in exchange for additional inventory slots; a prize which is equally treasured by the player., neg,1
It's a very effective design which--again--above all else; incentivizes exploration., pos,1
A typical hour of Breath of the Wild might consist of the following., neg,1
I found this untethered; completely unaided sort of explorative progression to be incredibly enriching and; quite frankly; downright intoxicating., neg,1
While previous open-world games (such as Skyrim; into which I personally sank over 100 hours) have managed to implore this sort of pathfinding strategy in the past; Zelda takes it to the next level--and then supplements it further with a hang-glider., neg,1
Inevitably; while loosely following a path to his destination; Link will find himself scaling magnificent landscapes or passing through territory which is fascinating for a wholly different reason., pos,1
He might encounter a hidden village; or another shrine; or a giant tree; or a bizarre set of ruins; or an enemy encampment with an alluring treasure chest waiting for whoever might conquer the antagonists within., pos,1
And predictably; he will not be able to resist stopping to explore this new discovery along the way; which simply serves to further instill in the world a sense of liveliness; wonderment; scope; depth., pos,0.8
Even if one sticks to the path and heads directly for their destination; they will be inescapably confronted by unscalable or otherwise suboptimal terrain or environmental factors; if not challenging foes along the way., pos,0.8
To step up to the edge of a vast ravine or the foot of a massive waterfall while working toward a waypoint is not an inconvenience; but rather; an experience., pos,0.6
It is as enchanting a discovery as it is a challenge to overcome this world's topological trials., pos,1
A final note in this section; this time regarding story., neg,1
Breath of the Wild is forced to manage its storytelling differently thanks to its extremely nonlinear design., neg,1
You may have heard Aonuma refer to an idea he had long ago about how to handle storytelling in a game such as this one., neg,1
This is less of a groundbreaking concept than it's probably been dressed up to be; but it does work very well in Breath of the Wild., neg,1
To explain without spoiling anything; envision the methods Metroid Prime and other passive storytelling games employed to convey the backstory of the adventure., pos,1
Now add cutscenes and an interesting approach to locating them; and you've got Breath of the Wild's technique., neg,1
It's true that; for the same reasons; some critical plotlines will be repeated by different NPCs as well throughout various parts of the adventure; but it's easy to understand why this is the case--and all of them do indeed present it in a different style., pos,0.8
Dungeons and critical points., neg,1
Earlier; I mentioned that dungeons are no longer required or even necessarily primary factors in the overall experience of Breath of the Wild., neg,0.8
Much anxiety has festered as a result of the apparent decision of BotW's designers to favor exploration and bite-sized shrines over the towering and labyrinthine dungeons of Zelda yore., neg,1
But I'm here to allay those concerns in the most unexpected way possible., pos,1
Yes; it is true; there are fewer dungeons in Breath of the Wild than in just about any other Zelda game in history., neg,1
It's more of a Majora's Mask approach in this regard than; say; Twilight Princess., neg,1
And you've also probably heard that these dungeons are smaller/shorter than those in past Zelda games., neg,1
Well; to be honest; most of this is true., pos,1
But; as many of you reading this who are concerned about this aspect of the game; I would consider myself to be a serious fan of Zelda dungeons--even to the point where I most remember them over nearly all other aspects of previous Zelda games., pos,1
Stone Tower Temple; Eagle's Tower; Turtle Rock; the Forest Temple., neg,1
those were some of the most cherished moments in my personal gaming history., pos,1
And why?, neg,1
Because of how eerie; how unnerving; how perplexing; and yet simultaneously how beautiful I remember them being., pos,1
They were both brilliant and terrifying., pos,1
They are what makes Zelda Zelda., neg,1
Guess what?, neg,1
They're alive and well in Breath of the Wild; even if the overall composition and theme of the dungeon scene has morphed into something unique., pos,1
You see; leading up to each dungeon is a series of events which truly communicates its gravity--and really lends them each individually a personality which was lacking from so many dungeons in Zeldas past., neg,0.8
By the time Link first steps foot in the dungeon; he's already so emotionally involved with the meaning of the experience that the first glance around him at the sprawling architecture and the puzzles that await is ever more captivating., pos,1
And the music., neg,1
quite in contrast to some early reports; it's haunting., pos,1
There are no items acquired in these dungeons; no big Key; no big treasure chest., pos,1
Instead; each dungeon features a gimmick all to itself which must be manipulated to solve the series of puzzles within it., neg,1
They are most certainly smaller; but they are also more cohesive and elegant in their design., pos,0.8
Plus; they're downright evil with respect to some of the physics-based riddles; and as Link progresses through them and further unravels their secrets; the music builds and evolves to swell the emotion., neg,1
In spite of the enrichment of the experience surrounding and leading up to their discovery; this is no retreat from dungeon-focused Zelda: Breath of the Wild does it differently; but it does it masterfully., neg,0.6
Combat that's to die for., neg,1
Ensuring that exploring a game world as large as Zelda's is always a challenge; but something which many games fail to do in addition to that is to offer a compelling combat system., pos,1
Well; combat in Breath of the Wild is the best of any game in the Zelda series; and better than that of any other open-world game I've spent time with., neg,0.8
This is due to a variety of contributing factors., neg,1
For starters; enemy AI is really good., neg,0.6
It's unpredictable and dynamic; as well as logical and cunning., pos,1
Enemies will sneak up; attack in groups; grab weapons; light stuff on fire (including their clubs and arrows using nearby torches); pick up objects (and other enemies!), neg,0.6
to throw; consciously avoid projectiles and bombs; investigate suspicious noises; chase after and hunt nearby game., neg,1
it's impressive., pos,1
And it also makes dealing with these guys a whole lot more interesting--and ruining their day a whole lot more satisfying., neg,1
The advanced physics engine is the next big contributor to the joy of combat., neg,1
Rolling boulders down hills; tossing bombs into an encampment; flinging bodies off cliffsides., neg,1
Breath of the Wild's action just feels real., neg,1
Planning an assault on-the-fly with the assurance that your intentions will be embraced by the game engine as well as they might be in the real world really enriches the experience to the point of delight., pos,1
And the third big contributor to Breath of the Wild's success in action sequences is the complexity and availability of combat choices for the player to make., neg,1
Attacking your enemies in this game often nearly feels as open-ended as the exploration itself., pos,0.8
Sure; you can run in swinging swords recklessly; but if that doesn't get you killed; it'll eventually bore you., neg,1
Instead; critical hit headshots and covert sneakstrikes from behind heavily incentivize cautious stealth assaults are far more efficient., neg,1
And it's possible to use the environment to your advantage; too: since enemies react naturally to sudden noises; for instance; shooting an arrow to make contact behind a group of enemies can mislead them; as can tossing a bomb and allowing it to roll along some distance before detonating it., neg,1
If it seems unlikely to you that you'll be making these sorts of decisions while playing the game; don't worry: in time; it comes naturally; and you will., pos,1
And it's awesome., pos,1
The game takes great pains to reward skillful combat performance as well., pos,1
Dodging at the last moment allows the player to enter a Flurry Rush; which is a devastating series of swipes at the enemy in slow motion., pos,1
Blocking with Link's shield at the last moment produces a Parry., neg,1
Leaping off a higher ledge and pulling out his bow allows for a slow-motion aiming interlude where multiple enemies can be taken out before landing., pos,1
And; of course; shooting enemies in the head with arrows results in a critical hit; as does throwing one's weapon at them., neg,1
One last important point to make here: a particularly contentious change to the Zelda formula to accommodate the new open-world design was the introduction of weapon durability., pos,0.6
In fact; this element of the game is so prevalent that you'll hardly ever fight more than a dozen enemies using the same weapon., neg,0.8
If that sounds annoying and overly restrictive to you; consider this: all the while; the game is literally throwing replacement weapons at you (nearly every enemy drops a weapon of some sort; and a good number of these are worth picking up)., neg,1
Weapons are incredibly easy to assess at a glance thanks to a heavily simplified attack rating system (a single number is shown; as well as an indicator of whether the weapon is an improvement over what is currently held); and switching them out is fast and easy using the quick menu (which applies to all weapons; by the way; including bows and arrows)., neg,0.8
Because of this; the durability/weapon breakage system actually works very well., neg,0.8
It serves a very important purpose: to keep the player interested in the actual equipment; and to keep them juggling new options to freshen up combat with each new encounter., pos,1
Mystery and enchantment., neg,1
Breath of the Wild is chocked full of secrets and unexpected content., pos,1
It's also heavily focused on providing the player with do-it-yourself unaided discoveries and countless aha!, pos,1
moments., neg,1
Many of these take the form of side quests; which are clearly marked on the Adventure Log screen of the menu; alongside the Main Quests and Shrine Quests (quests to reach a special shrine)., neg,1
Any of them can be used to mark the map to help orient the player and kick off the required exploration., neg,1
Of the several dozen of these formally-marked side quests in the game; there are; of course; a handful which are simple and relatively vapid., neg,1
But of course; that's to be expected in any open-world game--and it's also fairly realistic; as not every request from every person will lead to an enthralling experience., pos,1
But they are far fewer in number than most other modern open-world games; and many of them are indeed really interesting to undertake; which communicates a devotion to quality over quantity (a philosophy which Nintendo has long been suspected to favor)., neg,1
Many of these side quests draw attention to features of the landscapes in their enigmas; such as the positioning of trees; the shape of a mysterious rock; or other such peculiarities., pos,0.6
Some of you might suspect this to be boring; but it really isn't--it's enchanting., neg,1
And besides; it's totally optional; like everything else in this game., neg,1
Breath of the Wild really is an experience for any child at heart who loves exploring and mystery; but it will be especially treasured by those who love unraveling the secrets of the wild itself., pos,1
Even simply exploring the environment is a captivating; often magical experience., pos,1
Much conversation has transpired regarding the empty feel of the world in some of the videos; but this couldn't be further from the truth., neg,1
Instead; the world is as it should be: both empty and alive., neg,1
There are areas filled with activity--dense; challenging; and unnerving--where the player is forced to move slowly and carefully and stop frequently along the way., pos,1
Likewise; there are expansive regions where silence; nature; and wonderment define the journey., neg,0.8
The chirps of indigenous birds and howls of nearby wildlife are accompanied only by the occasional twinkle of a fragmented piano melody; meant to imbue the atmosphere with a particular mood., neg,1
Sunlight and moonlight dance along surfaces after filtering through actual natural barriers; such as the leaves of nearby palm trees or wooden blinds covering a window inside a hut--and they are directly affected by the angle of the sun and moon., neg,0.8
Water drips from Link as he dries; footprints are left in the sand and the snow by nearby characters., neg,1
The sunsets and sunrises are beautiful enough to evoke memories of family beach trips and prompt the player to pause to simply wait and watch patiently., pos,1
This is a world alive; and very much emotional; for the most visceral of reasons., pos,1
This also speaks to the lack of overworld music in Breath of the Wild; and oh; what a wonderful decision., pos,1
Yet again; complaints have swelled from within the depths of the Zelda fanbase that the lack of memorable explorative themes might harm the experience; but it does just the opposite., pos,1
When the player is spending potentially over 100 hours exploring something as vast and varied as Breath of the Wild's world; it's a brilliant move to eliminate any X-minutes-long loop of accompanying music., pos,1
Not to mention the sheer depth and detail of BotW's ambient sound design: as previously mentioned; the noises emitted by the surrounding wildlife are central to the experience and the sentiment., neg,1
Alongside those; the whirring of the winds and trickling of water down the rocks as you approach each new alcove; each mountain summit; each forgotten nook; sometimes can border on the spiritual., neg,1
This is absolutely the best and most believable surrealistic atmosphere ever crafted in an open-world adventure of any kind., pos,1
What about the rest of the music though?, neg,1
Many of you know I'm a bit of a self-described game music enthusiast--and I'm happy to report that those melodic themes that do exist in the game (and yes; there are plenty of them) are very well-composed., pos,1
They're also regularly decorated by live instrumentation from strings; horns; and woodwinds; which only serves to accent the grandiosity of the experience., neg,1
So although the exploration and wild battle music is unconventional in the Zelda sense; the rest of the soundtrack absolutely fits the profile--everything from villages to dungeons., neg,1
I doubt that anyone will be disappointed., neg,1
Challenge and demands., neg,1
Zelda Souls; it's been called by some., neg,1
While this is absolutely not Dark Souls; there is no denying that Breath of the Wild is easily the most challenging Zelda game in a very long time., pos,1
Much of this is a product of the lack of linearity; and thus progressive difficulty curve; of the game itself., pos,1
But it's also a product of the lack of hand-holding and just generally the game's unwillingness to yield to the player., neg,1
It doesn't need to: the player already feels the need to adapt and to learn., neg,1
Cautiousness is a skill taught early on by Breath of the Wild; as approaching any situation without a plan is never a good idea., neg,0.6
The action and combat sequences are often frenetic and unforgiving., neg,1
Enemies can and will end your game quickly if given the opportunity; they'll strike you quickly and sometimes from long distances; they'll knock you off a cliff; they'll blow you up and set you on fire., neg,1
This is no Ocarina of Time; Game Over screens will be encountered often., neg,1
But Breath of the Wild also takes great care to ensure that frustration does not overrule entertainment and adventure., pos,1
To that end; death inflicts no penalty apart from a short wait time at the loading screen and a minor regression to the last save point (the game autosaves frequently and intelligently; and manual saves are also possible)., pos,1
You will begin again with the same equipment and status as you did at that very moment; before death occurred., neg,1
Yes; it is indeed a challenging game., pos,1
But that isn't to say that carefree exploration cannot take place; it can; and it often does., neg,1
Still; at the same time; the game trains the player to begin paying attention to such enduring variables as temperature management; environmental hazards; noise levels; and all sorts of other intangibles which previously were ignored by Zelda and pretty much every other series., neg,0.8
More complexity and authenticity isn't always better; but in Breath of the Wild's case; it is carefully balanced to never feel overly cumbersome; but instead always provide yet another additional layer of necessary strategy and planning., pos,0.8
As I'm sure everyone knows by now; this means that Link will need to spend time cooking (which; by the way; is incredibly easy to get the hang of); managing his body temperature at higher altitudes and colder climates by way of clothing choice and nutrition; and paying attention to his noise levels as he moves throughout dangerous territory., pos,1
It also means--as has also been revealed--keeping an eye out for thunderstorms and removing metallic equipment while exploring during one for fear of deadly lightning strikes., neg,1
But this is no Far Cry; the game acknowledges the player's unwillingness to spend time reading through each item's description in search of hints about its construction; and instead provides a handy electric icon during perilous weather so that the offending equipment can be easily identified and removed., neg,1
In fact; this is just one of so very many ways in which Breath of the Wild respects the player's time and intelligence., neg,1
Another one is the aforementioned ability to fast-travel to any shrine., neg,1
but also any tower or numerous other critical points across the map--and this travel can be invoked at any time by simply pulling up the map and choosing a destination., neg,0.8
Weapon and inventory management is as easy as it could possibly be given the lack of a touchscreen/second screen accompanying the gameplay; with contextually appropriate quick menus available at the touch of a button., pos,1
The only thing you can't easily do is drop an item; but that's probably for the best; anyway--and as Link's inventory expands naturally over time; this becomes less and less of a problem anyway., neg,1
What about the length of the adventure?, pos,0.8
There have already been attempts to quantify this; to assign a typical this-many-hours rating of the real meat of the main adventure itself., pos,1
But more so in Breath of the Wild than in any other game in the series; length is a misnomer., neg,1
If we measured length alone; technically the game would measure up to around 1 hour; since that's hypothetically how long it would take someone to complete it if they rushed to the end., neg,1
Estimates of time to complete the entirety of the main quest line might be slightly more practical; but even this is still heavily misleading; as no one in reality is ever going to skip around all of the other content--shrines; combat; treasure; side quests; exploration; mysteries--just to reach the next primary destination., neg,1
Instead; I will simply tell you how long I figure the average person will spend with the game before the primary quest is completed: 60 to 120 hours., pos,0.6
It's a huge range because how long it actually takes you is so heavily dependent upon your commitment to ignoring all of the other distractions and attractions that surround you throughout the entire adventure., neg,0.6
However; it's probably possible to complete the entire main quest line and all of the shrines in the game if a player is dedicated to doing so within that timeframe., neg,0.8
As for the side quests and other extras., neg,1
well; I think it'd be impossible to even provide an estimate if those are included., pos,0.6
Possibly 150 to 200 hours., neg,1
seriously., neg,1
The foundational framework by which Breath of the Wild is brought to life--this magnificent game engine which is responsible for everything from the realistic physics to the dazzling eye-candy--is a treasure in and of itself., pos,1
But in tandem with the extremely realistic behavior of so many dozens of animals and insects; the credibility of the weather system; the perpetuity of the day/night cycle; the authenticity of NPCs; the solemn intricacy of the atmospheric sound design and lighting; and the sheer variety of what's in store; it creates magic., pos,0.6
These elements taken together concoct an experience which only gets better with its scope--provided; of course; the quality of the environments and the lands themselves does not depreciate as the game expands., neg,1
And it does not; although there are literally dozens of different environments and climates to experience in Breath of the Wild; each one truly feels authentic; ranging from the lush and tropical to the dry and desolate; from the sweeping vistas to the dense jungles; from the frigid peaks to the moist swamplands., pos,1
As impressive technically as it can be; it is perhaps even more a triumph of art design and careful construction; where seemingly every tree and every rock has a purpose and was placed deliberately and naturally., pos,1
I'm honestly not sure how it was all possible., neg,0.6
Open your eyes., neg,1
This is it; folks., neg,1
The Legend of Zelda: Breath of the Wild is Nintendo's Magnum Opus., neg,1
It's not only the best Zelda game ever created; it's also one of the very best videogames in the history of the art., pos,1
Games like this are so rare that it would be impossible to classify it as anything other than a masterpiece., pos,1
Experience it at all costs., neg,1
A 10/10 is a rare achievement; in fact; the last one I awarded was seven years ago in 2010., pos,1
It's also natural to doubt whether any game should deserve such high acclaim; so let me spend a few moments to address any such concerns., neg,1
In my 15 years of reviewing games; this is one of the easiest and most certain scores that I have ever awarded; and there is no doubt that Zelda: Breath of the Wild deserves every bit of the acclaim this tremendous score implies., pos,1
I tried in earnest to conjure valid criticism of the game every moment I spent with it; but in reality; apart from the usual technical what-ifs and minor quibbles about platform limitations; there is truly nothing much wrong with this game., neg,0.8
It is the first game in a very long time which I have felt compelled to spend 100+ hours playing; and most importantly; every single moment I have spent with it has been something special., neg,1
This is a memorable moment for gaming., pos,1
Breath of the Wild is a very special product which we will probably not witness again anytime soon--or possibly ever., neg,1
Let go of your concerns and prepare yourself: this is the ultimate adventure you've been waiting for., pos,0.8
You are in for something unforgettable., pos,1
There is so much to cover about a game as deep as Breath of the Wild that it's nearly impossible to fit it all into one cohesive review., pos,0.6
nThe Zelda franchise is one of Nintendos (and the gaming world's at large) biggest; and the wait for The Legend of Zelda: Breath of the Wild (herein referred to as Zelda: BOTW) has been a long; tough slog for some., neg,1
With the launch of the new Switch we were lucky enough here at TDF to be able to check out Zelda: BOTW on the Switch for around a week now; clocking up a whopping thirty-five plus hours tackling the main quest lines and a number of side activities., neg,0.6
There is however an awful lot more of the game left to play - more on that later., neg,1
The story is typical fantasy adventure fodder but that is by no means a negative., pos,1
Enchanting; intriguing and seemingly taking some nods from older titles; the narrative is in our opinion a big improvement on previous Zelda efforts., neg,1
Over a hundred years ago the people of Hyrule lived in relative peace; the Sheikahas blue aura providing oodles of life to the lands; sadly though this peace was blown into chaos by the beast Calamity Ganon as he assaulted the lands., neg,1
Link; our hero; along with Princess Zelda attempted to stop the evil but failed., neg,1
As they tried and failed; the Sheikah in one last ditch attempt to destroy the vile monster awoke a secretly made army of machines known as Guardians along with four divine beasts., neg,1
In the final battle our heroes managed to seal Calamity Ganon inside Hyrule Castle with one key side effect - the mechanical army awoken to save Hyrule was turned against it., neg,1
In panic., neg,1
The King banished the Sheikah from the land., neg,1
Having played numerous RPGs over many years; its tough to think of one that is as spellbinding and so moreish as this., pos,1
A modern day marvel on the Nintendo Switch; The Legend of Zelda: Breath of the Wild is simply stunning., pos,1
Breath of the Wild is the complete revolution of The Legend of Zelda series I never knew I always wanted., neg,1
Nintendo has broken away from the shackles of its prestigious history and crafted the modern action-RPG we never thought Zelda would become., pos,1
It's a disservice to simply label it spectacular; and must buy as a Switch launch title is merely a formality., pos,1
Nintendo promised a lot and left us hanging delay after delay; culminating in a cross-gen farewell doubling as an introduction; but it's delivered in every sense of the word., neg,1
Breath of the Wild is the best in a series that's scarcely disappointed., pos,0.6
Everything has changed., neg,1
On the surface; Breath of the Wild resembles and captures the essence of The Legend of Zelda., neg,1
But unlike those that came before it; stepping into the shoes of this incarnation of Link isn't like riding a bike; it demands veteran fans relearn how to play., neg,0.6
After a short instruction; BOTW thrusts you into a vast world that at first glance appears restrictive; but is actually wide open., pos,1
There's little direction; and after graduating from the tutorial segment; you're left entirely up to your own devices to uncover the unconventional structure., neg,1
The new quest-based design is lifted straight from every JRPG ever made; but they don't combine the nuance and frankly brilliance of Zelda's iconic dungeon design with delightful combat., neg,0.8
The rulebook has been entirely rewritten to allow players to approach main and side quests at their discretion; and yet there's never a wavering of Zelda's core identity - and yes; you can choose to skip the core 40 hours and run straight to fight Ganon; if you dare., neg,1
It'd be extremely foolish; but even having the option adorn the Adventure Log resonates Nintendo's dedication to the drastic overhaul., neg,1
The refreshed mechanics aren't anything revolutionary in isolation., pos,1
The inclusion of a jump button; the ability to climb; relying upon many melee and ranged weapons; a selection of dashing trousers; RPG-style stats and cooking food to restore XP have all been done before., neg,1
But inject them into an open world rendition of Hyrule; and they transcend their apparent simplicity., neg,1
Breath of the Wild is by far the hardest Zelda game; certainly amongst the 3D console games; and putting nostalgia aside; it's a fair assessment to say overall., neg,1
While I enjoyed replaying Ocarina of Time; Majora's Mask; The Wind Waker and Twilight Princess in their 3DS and Wii U remasters; the similarities between them are immense; with prior experience; you're going through the motions., pos,1
Joyful motions; but there's nothing there you haven't seen before., neg,1
Breath of the Wild demands genuine respect., pos,1
Not quite in the sense of Dark Souls' brutal repercussions; you don't lose anything for dying; but it will punish you for taking a lackadaisical approach and constantly remind you who's boss., pos,1
Expect to die in this Zelda game; expect to fail; and it will always be your fault for being careless or underprepared., neg,1
The predictable formula of finding items mid-dungeon; often making older items redundant; towards a charge to fight Ganon has been wiped clean., neg,1
All the tools you need to complete Breath of the Wild are made available within the opening hour; which is the only segment that features a semblance of handholding., neg,1
From the outset; Link has access to a range of shields; swords; spears and axes - anything that can be used to whack enemies; really - plus bows and arrows., neg,1
After a dash of narrative; he unlocks four core abilities; and gains a hang glider to make traversing the enormous environment palatable., pos,1
